,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,HTML Reference
742,Troy Caupain,2019,2019,G,6-4,210,"November 29, 1995",Cincinnati,/players/c/caupatr01.html
743,Duane Causwell,1991,2001,C,7-0,240,"May 31, 1968",Temple,/players/c/causwdu01.html
744,Tyler Cavanaugh,2018,2019,F,6-9,238,"February 9, 1994",George Washington,/players/c/cavanty01.html
745,Ron Cavenall,1985,1989,C,7-1,230,"April 30, 1959",Texas Southern,/players/c/cavenro01.html
746,Ahmad Caver,2022,2022,G,6-2,175,"September 12, 1996",Old Dominion,/players/c/caverah01.html
747,Cedric Ceballos,1991,2001,F,6-6,190,"August 2, 1969",Cal State Fullerton,/players/c/cebalce01.html
748,John Celestand,2000,2000,G,6-4,178,"March 6, 1977",Villanova,/players/c/celesjo01.html
749,Al Cervi,1950,1953,G-F,5-11,170,"February 12, 1917",,/players/c/cervial01.html
750,Lionel Chalmers,2005,2005,G,6-0,180,"November 10, 1980",Xavier,/players/c/chalmli01.html
751,Mario Chalmers,2009,2018,G,6-2,190,"May 19, 1986",Kansas,/players/c/chalmma01.html
752,Bill Chamberlain,1973,1974,F,6-6,188,"December 16, 1949",UNC,/players/c/chambbi01.html
753,Wilt Chamberlain,1960,1973,C,7-1,275,"August 21, 1936",Kansas,/players/c/chambwi01.html
754,Jerry Chambers,1967,1974,F,6-5,185,"July 18, 1943",Utah,/players/c/chambje01.html
755,Tom Chambers,1982,1998,F-C,6-10,220,"June 21, 1959",Utah,/players/c/chambto01.html
756,Justin Champagnie,2022,2022,F,6-6,200,"June 29, 2001",Pitt,/players/c/champju01.html
757,Mike Champion,1989,1989,F,6-10,230,"April 5, 1964",Gonzaga,/players/c/champmi01.html
758,Kennedy Chandler,2023,2023,G,6-0,171,"September 16, 2002",Tennessee,/players/c/chandke01.html
759,Tyson Chandler,2002,2020,C,7-0,235,"October 2, 1982",,/players/c/chandty01.html
760,Wilson Chandler,2008,2020,F,6-8,235,"May 10, 1987",DePaul,/players/c/chandwi01.html
761,Don Chaney,1969,1980,G,6-5,210,"March 22, 1946",Houston,/players/c/chanedo01.html
762,John Chaney,1950,1950,F-C,6-3,185,"February 29, 1920",LSU,/players/c/chanejo01.html
763,Rex Chapman,1989,2000,G,6-4,185,"October 5, 1967",Kentucky,/players/c/chapmre01.html
764,Wayne Chapman,1969,1972,G-F,6-6,190,"June 15, 1945",Western Kentucky,/players/c/chapmwa01.html
765,Len Chappell,1963,1972,F-C,6-8,240,"January 31, 1941",Wake Forest,/players/c/chapple01.html
766,Ken Charles,1974,1978,G,6-3,180,"July 10, 1951",Fordham,/players/c/charlke01.html
767,Lorenzo Charles,1986,1986,F,6-7,225,"November 25, 1963",NC State,/players/c/charllo01.html
768,Joe Chealey,2019,2020,G,6-3,190,"November 1, 1995",College of Charleston,/players/c/chealjo01.html
769,Calbert Cheaney,1994,2006,G-F,6-7,209,"July 17, 1971",Indiana,/players/c/cheanca01.html
770,Zylan Cheatham,2020,2022,F,6-5,220,"November 17, 1995","San Diego State, Arizona State",/players/c/cheatzy01.html
771,Maurice Cheeks,1979,1993,G,6-1,180,"September 8, 1956",West Texas A&M University,/players/c/cheekma01.html
772,Phil Chenier,1972,1981,G,6-3,180,"October 30, 1950",California,/players/c/cheniph01.html
773,Will Cherry,2015,2015,G,6-0,185,"February 8, 1991",Montana,/players/c/cherrwi01.html
774,Derrick Chievous,1989,1991,F,6-7,195,"July 3, 1967",Missouri,/players/c/chievde01.html
775,Pete Chilcutt,1992,2000,F-C,6-10,230,"September 14, 1968",UNC,/players/c/chilcpe01.html
776,Josh Childress,2005,2014,G-F,6-8,210,"June 20, 1983",Stanford,/players/c/childjo01.html
777,Randolph Childress,1996,1997,G,6-2,188,"September 21, 1972",Wake Forest,/players/c/childra01.html
778,Chris Childs,1995,2003,G,6-3,195,"November 20, 1967",Boise State,/players/c/childch01.html
779,Chris Chiozza,2019,2022,G,5-11,175,"November 21, 1995",Florida,/players/c/chiozch01.html
780,Leroy Chollet,1950,1951,F,6-2,190,"March 5, 1925",Canisius,/players/c/chollle01.html
781,Jim Chones,1973,1982,C-F,6-11,220,"November 30, 1949",Marquette,/players/c/choneji01.html
782,Marquese Chriss,2017,2022,F,6-9,240,"July 2, 1997",Washington,/players/c/chrisma01.html
783,Fred Christ,1955,1955,G,6-4,210,"August 6, 1930",Fordham,/players/c/chrisfr01.html
784,Cal Christensen,1951,1955,F-C,6-5,210,"June 6, 1927",Toledo,/players/c/chrisca01.html
785,Bob Christian,1970,1974,C,6-10,255,"May 11, 1946",Grambling State University,/players/c/chrisbo01.html
786,Doug Christie,1993,2007,G-F,6-6,200,"May 9, 1970",Pepperdine,/players/c/chrisdo01.html
787,Max Christie,2023,2023,G,6-6,190,"February 10, 2003",Michigan State,/players/c/chrisma02.html
788,Dionte Christmas,2014,2014,G,6-5,205,"September 15, 1986",Temple,/players/c/chrisdi01.html
789,Rakeem Christmas,2016,2017,F,6-9,250,"December 1, 1991",Syracuse,/players/c/chrisra01.html
790,Semaj Christon,2017,2017,G,6-3,190,"November 1, 1992",Xavier,/players/c/chrisse01.html
791,Josh Christopher,2022,2023,G,6-5,215,"December 8, 2001",Arizona State,/players/c/chrisjo01.html
792,Patrick Christopher,2015,2015,G-F,6-5,209,"June 3, 1988",California,/players/c/chrispa01.html
793,Stephen Chubin,1968,1970,G,6-2,200,"February 8, 1944",Rhode Island,/players/c/chubist01.html
794,Robert Churchwell,1996,1996,G-F,6-6,195,"February 20, 1972",Georgetown,/players/c/churcro01.html
795,Archie Clark,1967,1976,G,6-2,175,"July 15, 1941",Minnesota,/players/c/clarkar01.html
796,Carlos Clark,1984,1985,G,6-4,210,"August 10, 1960",Ole Miss,/players/c/clarkca01.html
797,Earl Clark,2010,2015,F,6-10,225,"January 17, 1988",Louisville,/players/c/clarkea01.html
798,Gary Clark,2019,2022,F,6-6,225,"November 16, 1994",Cincinnati,/players/c/clarkga01.html
799,Ian Clark,2014,2019,G,6-3,175,"March 7, 1991",Belmont,/players/c/clarkia01.html
800,Keon Clark,1999,2004,F-C,6-11,220,"April 16, 1975",UNLV,/players/c/clarkke01.html
801,Richard Clark,1968,1969,G,6-4,190,"January 5, 1944",Eastern Kentucky University,/players/c/clarkri01.html
802,Brandon Clarke,2020,2023,F,6-8,215,"September 19, 1996","San Jose State, Gonzaga",/players/c/clarkbr01.html
803,Coty Clarke,2016,2016,F,6-7,232,"July 4, 1992",Arkansas,/players/c/clarkco01.html
804,Jordan Clarkson,2015,2023,G,6-4,194,"June 7, 1992","Tulsa, Missouri",/players/c/clarkjo01.html
805,Gian Clavell,2018,2018,G,6-4,185,"November 26, 1993",Colorado State,/players/c/clavegi01.html
806,Victor Claver,2013,2015,F,6-9,224,"August 30, 1988",,/players/c/clavevi01.html
807,John Clawson,1969,1969,F,6-4,200,"May 15, 1944",Michigan,/players/c/clawsjo01.html
808,Charles Claxton,1996,1996,C,7-0,265,"December 13, 1970",Georgia,/players/c/claxtch01.html
809,Nic Claxton,2020,2023,C,6-11,215,"April 17, 1999",Georgia,/players/c/claxtni01.html
810,Speedy Claxton,2002,2009,G,5-11,166,"May 8, 1978",Hofstra,/players/c/claxtsp01.html
811,Jim Cleamons,1972,1980,G,6-3,185,"September 13, 1949",Ohio State,/players/c/cleamji01.html
812,Mateen Cleaves,2001,2006,G,6-2,205,"September 7, 1977",Michigan State,/players/c/cleavma01.html
813,Barry Clemens,1966,1976,F,6-6,210,"May 1, 1943",Ohio Wesleyan University,/players/c/clemeba01.html
814,Chris Clemons,2020,2020,G,5-9,180,"July 23, 1997",Campbell,/players/c/clemoch01.html
815,Antonius Cleveland,2018,2020,G,6-5,195,"February 2, 1994",SE Missouri State,/players/c/clevean01.html
816,Nat Clifton,1951,1958,C-F,6-6,220,"October 13, 1922",Xavier University of Louisiana,/players/c/cliftna01.html
817,Bill Closs,1950,1952,F-C,6-5,195,"January 8, 1922",Rice University,/players/c/clossbi01.html
818,Keith Closs,1998,2000,C,7-3,212,"April 3, 1976",Central Connecticut State University,/players/c/closske01.html
819,Paul Cloyd,1950,1950,G-F,6-2,180,"June 13, 1920",Wisconsin,/players/c/cloydpa01.html
820,Bob Cluggish,1947,1947,C,6-10,235,"September 18, 1917",Kentucky,/players/c/cluggbo01.html
821,Ben Clyde,1975,1975,F,6-7,198,"June 10, 1951",Florida State,/players/c/clydebe01.html
822,Amir Coffey,2020,2023,G,6-7,210,"June 17, 1997",Minnesota,/players/c/coffeam01.html
823,Richard Coffey,1991,1991,F,6-6,212,"September 2, 1965",Minnesota,/players/c/cofferi01.html
824,Fred Cofield,1986,1987,G,6-3,190,"January 4, 1962","Oregon, Eastern Michigan",/players/c/cofiefr01.html
825,John Coker,1996,2001,C,7-0,253,"October 28, 1971",Boise State,/players/c/cokerjo01.html
826,Norris Cole,2012,2017,G,6-2,175,"October 13, 1988",Cleveland State University,/players/c/coleno01.html
827,Ben Coleman,1987,1994,F,6-9,235,"November 14, 1961","Minnesota, Maryland",/players/c/colembe01.html
828,Derrick Coleman,1991,2005,F-C,6-10,230,"June 21, 1967",Syracuse,/players/c/colemde01.html
829,E.C. Coleman,1974,1979,F,6-8,225,"September 25, 1950",Houston Baptist University,/players/c/colemec01.html
830,Jack Coleman,1950,1958,F-C,6-7,195,"May 23, 1924",Louisville,/players/c/colemja01.html
831,Norris Coleman,1988,1988,F,6-8,210,"September 27, 1961",Kansas State,/players/c/colemno01.html
832,Bimbo Coles,1991,2004,G,6-1,180,"April 22, 1968",Virginia Tech,/players/c/colesbi01.html
833,Jason Collier,2001,2005,C,7-0,260,"September 8, 1977","Indiana, Georgia Tech",/players/c/collija02.html
834,Art Collins,1981,1981,G,6-4,185,"April 14, 1954",St. Thomas University,/players/c/colliar01.html
835,Don Collins,1981,1987,F-G,6-6,190,"November 28, 1958",Washington State,/players/c/collido02.html
836,Doug Collins,1974,1981,G-F,6-6,180,"July 28, 1951",Illinois State,/players/c/collido01.html
837,James Collins,1998,1998,G,6-4,196,"November 5, 1973",Florida State,/players/c/collija01.html
838,Jarron Collins,2002,2011,F-C,6-11,255,"December 2, 1978",Stanford,/players/c/collija03.html
839,Jason Collins,2002,2014,C,7-0,255,"December 2, 1978",Stanford,/players/c/collija04.html
840,Jimmy Collins,1971,1972,G,6-2,175,"November 24, 1946",New Mexico State,/players/c/colliji01.html
841,John Collins,2018,2023,F,6-9,235,"September 23, 1997",Wake Forest,/players/c/collijo01.html
842,Mardy Collins,2007,2010,G,6-6,220,"August 4, 1984",Temple,/players/c/collima01.html
843,Sherron Collins,2011,2011,G,5-11,205,"March 18, 1987",Kansas,/players/c/collish01.html
844,Zach Collins,2018,2023,C-F,6-11,250,"November 19, 1997",Gonzaga,/players/c/colliza01.html
845,Kyle Collinsworth,2018,2018,G-F,6-6,210,"October 3, 1991",BYU,/players/c/colliky01.html
846,Darren Collison,2010,2022,G,6-0,175,"August 23, 1987",UCLA,/players/c/collida01.html
847,Nick Collison,2005,2018,F,6-10,255,"October 26, 1980",Kansas,/players/c/collini01.html
848,Joe Colone,1949,1949,F,6-5,210,"January 23, 1924",Bloomsburg University of Pennsylvania,/players/c/colonjo01.html
849,Bonzie Colson,2019,2019,F,6-6,224,"January 12, 1996",Notre Dame,/players/c/colsobo01.html
850,Sean Colson,2001,2001,G,6-0,175,"July 1, 1975","Rhode Island, UNC Charlotte",/players/c/colsose01.html
851,Steve Colter,1985,1995,G,6-3,165,"July 24, 1962",New Mexico State,/players/c/coltest01.html
852,Glen Combs,1969,1975,G,6-2,185,"October 30, 1946",Virginia Tech,/players/c/combsgl01.html
853,Leroy Combs,1984,1984,F,6-8,210,"January 1, 1961",Oklahoma State,/players/c/combsle01.html
854,John Comeaux,1968,1968,F,6-5,193,"September 15, 1943",Grambling State University,/players/c/comeajo01.html
855,Dallas Comegys,1988,1989,F,6-9,205,"August 17, 1964",DePaul,/players/c/comegda01.html
856,Larry Comley,1964,1964,G,6-5,210,"August 17, 1939",Kansas State,/players/c/comlela01.html
857,Jeffrey Congdon,1968,1972,G,6-1,180,"October 17, 1943",BYU,/players/c/congdje01.html
858,Gene Conley,1953,1964,C-F,6-8,225,"November 10, 1930",Washington State,/players/c/conlege01.html
859,Larry Conley,1968,1968,G,6-3,175,"January 22, 1944",Kentucky,/players/c/conlela01.html
860,Mike Conley,2008,2023,G,6-1,175,"October 11, 1987",Ohio State,/players/c/conlemi01.html
861,Ed Conlin,1956,1962,F-G,6-5,200,"September 2, 1933",Fordham,/players/c/conlied01.html
862,Marty Conlon,1992,2000,F-C,6-10,224,"January 19, 1968",Providence,/players/c/conloma01.html
863,Pat Connaughton,2016,2022,G,6-5,209,"January 6, 1993",Notre Dame,/players/c/connapa01.html
864,Jimmy Conner,1976,1976,G,6-4,190,"March 20, 1953",Kentucky,/players/c/conneji01.html
865,Lester Conner,1983,1995,G,6-4,180,"September 17, 1959",Oregon State,/players/c/connele01.html
866,Chuck Connors,1947,1948,F-C,6-5,190,"April 10, 1921",Seton Hall,/players/c/connoch01.html
867,Will Conroy,2007,2013,G,6-2,195,"December 8, 1982",Washington,/players/c/conrowi01.html
868,Anthony Cook,1991,1996,F-C,6-9,205,"March 19, 1967",Arizona,/players/c/cookan01.html
869,Bert Cook,1955,1955,G-F,6-3,185,"April 26, 1929",Utah State University,/players/c/cookbe01.html
870,Bobby Cook,1950,1950,G-F,5-10,155,"April 1, 1923",Wisconsin,/players/c/cookbo01.html
871,Brian Cook,2004,2012,F,6-9,234,"December 4, 1980",Illinois,/players/c/cookbr01.html
872,Daequan Cook,2008,2013,G,6-5,205,"April 28, 1987",Ohio State,/players/c/cookda02.html
873,Darwin Cook,1981,1989,G,6-3,184,"August 6, 1958",University of Portland,/players/c/cookda01.html
874,Jeff Cook,1980,1988,F-C,6-10,215,"October 21, 1956",Idaho State University,/players/c/cookje01.html
875,Norm Cook,1977,1978,F,6-8,210,"March 21, 1955",Kansas,/players/c/cookno01.html
876,Omar Cook,2004,2005,G,6-1,190,"January 28, 1982",St. John's,/players/c/cookom01.html
877,Quinn Cook,2017,2021,G,6-1,180,"March 23, 1993",Duke,/players/c/cookqu01.html
878,Tyler Cook,2020,2022,F,6-8,255,"September 23, 1997",Iowa,/players/c/cookty01.html
879,Charles Cooke,2018,2018,G,6-5,196,"July 1, 1994",Dayton,/players/c/cookech01.html
880,David Cooke,1986,1986,F,6-8,230,"September 27, 1963",Saint Mary's,/players/c/cookeda01.html
881,Joe Cooke,1971,1971,G,6-3,175,"August 14, 1948",Indiana,/players/c/cookejo01.html
882,Jack Cooley,2015,2018,F-C,6-9,260,"April 12, 1991",Notre Dame,/players/c/cooleja01.html
883,Chuck Cooper,1951,1956,F,6-5,210,"September 29, 1926",Duquesne,/players/c/coopech01.html
884,Duane Cooper,1993,1994,G,6-1,185,"June 25, 1969",USC,/players/c/coopedu01.html
885,Joe Cooper,1982,1985,C-F,6-10,230,"September 1, 1957","Howard University, Tulsa, Colorado",/players/c/coopejo01.html
886,Michael Cooper,1979,1990,G-F,6-7,170,"April 15, 1956",New Mexico,/players/c/coopemi01.html
887,Sharife Cooper,2022,2022,G,6-1,180,"June 11, 2001",Auburn,/players/c/coopesh01.html
888,Wayne Cooper,1979,1992,C-F,6-10,220,"November 16, 1956",New Orleans,/players/c/coopewa01.html
889,Tom Copa,1992,1992,C,6-10,275,"October 30, 1964",Marquette,/players/c/copato01.html
890,Chris Copeland,2013,2016,F,6-9,239,"March 17, 1984",Colorado,/players/c/copelch01.html
891,Hollis Copeland,1980,1982,F,6-6,180,"December 20, 1955",Rutgers University,/players/c/copelho01.html
892,Lanard Copeland,1990,1992,G,6-6,190,"July 16, 1965",Georgia State University,/players/c/copella01.html
893,Tyrone Corbin,1986,2001,G-F,6-6,210,"December 31, 1962",DePaul,/players/c/corbity01.html
894,Chris Corchiani,1992,1994,G,6-0,185,"March 28, 1968",NC State,/players/c/corchch01.html
895,Ken Corley,1947,1947,C,6-5,210,"May 10, 1920",University of Central Oklahoma,/players/c/corleke01.html
896,Ray Corley,1950,1953,G,6-0,180,"January 14, 1928",Georgetown,/players/c/corlera01.html
897,Petr Cornelie,2022,2022,F,6-11,220,"July 26, 1995",,/players/c/cornepe01.html
898,Dave Corzine,1979,1991,C,6-11,250,"April 25, 1956",DePaul,/players/c/corzida01.html
899,Larry Costello,1955,1968,G,6-1,186,"July 2, 1931",Niagara University,/players/c/costela01.html
900,Matt Costello,2018,2018,F,6-9,245,"August 5, 1993",Michigan State,/players/c/costema01.html
901,Bryce Cotton,2015,2016,G,6-1,165,"August 11, 1992",Providence,/players/c/cottobr01.html
902,Jack Cotton,1950,1950,F-C,6-7,200,"October 25, 1924",Wyoming,/players/c/cottoja01.html
903,James Cotton,1998,1999,G,6-5,220,"December 14, 1975",Cal State Long Beach,/players/c/cottoja02.html
904,John Coughran,1980,1980,F,6-7,225,"September 12, 1951",California,/players/c/coughjo01.html
905,Mel Counts,1965,1976,C-F,7-0,230,"October 16, 1941",Oregon State,/players/c/countme01.html
906,Steve Courtin,1965,1965,G,6-1,188,"September 21, 1942",Saint Joseph's,/players/c/courtst01.html
907,Joe Courtney,1993,1997,F,6-8,235,"October 17, 1969","Mississippi State, Southern Miss",/players/c/courtjo01.html
908,Marcus Cousin,2011,2011,C,6-11,245,"December 18, 1986","Seton Hall, Houston",/players/c/cousima01.html
909,DeMarcus Cousins,2011,2022,C-F,6-10,270,"August 13, 1990",Kentucky,/players/c/couside01.html
910,Bob Cousy,1951,1970,G,6-1,175,"August 9, 1928",Holy Cross,/players/c/cousybo01.html
911,Robert Covington,2014,2023,F-C,6-7,209,"December 14, 1990",Tennessee State,/players/c/covinro01.html
912,Dave Cowens,1971,1983,C-F,6-9,230,"October 25, 1948",Florida State,/players/c/cowenda01.html
913,Chubby Cox,1983,1983,G,6-2,180,"December 29, 1955","Villanova, San Francisco",/players/c/coxch01.html
914,Johnny Cox,1963,1963,G,6-4,180,"November 1, 1936",Kentucky,/players/c/coxjo01.html
915,Wesley Cox,1978,1979,F,6-6,215,"January 27, 1955",Louisville,/players/c/coxwe01.html
916,Allen Crabbe,2014,2020,G-F,6-5,212,"April 9, 1992",California,/players/c/crabbal01.html
917,Torrey Craig,2018,2023,G-F,6-7,221,"December 19, 1990",USC Upstate,/players/c/craigto01.html
918,Chris Crawford,1998,2004,F,6-9,235,"May 13, 1975",Marquette,/players/c/crawfch01.html
919,Freddie Crawford,1967,1971,G-F,6-4,189,"December 23, 1941",St. Bonaventure,/players/c/crawffr01.html
920,Jamal Crawford,2001,2020,G,6-5,185,"March 20, 1980",Michigan,/players/c/crawfja01.html
921,Joe Crawford,2009,2009,F,6-5,210,"June 17, 1986",Kentucky,/players/c/crawfjo01.html
922,Jordan Crawford,2011,2018,G,6-4,195,"October 23, 1988","Indiana, Xavier",/players/c/crawfjo02.html
923,Mitch Creek,2019,2019,G,6-5,216,"April 27, 1992",,/players/c/creekmi01.html
924,Jim Creighton,1976,1976,F,6-8,200,"April 18, 1950",Colorado,/players/c/creigji01.html
925,Ron Crevier,1986,1986,C,7-0,235,"April 14, 1958",Boston College,/players/c/creviro01.html
926,Hal Crisler,1947,1947,F,6-3,215,"December 31, 1923",Iowa State,/players/c/crislha01.html
927,Joe Crispin,2002,2002,G,6-0,185,"July 18, 1979",Penn State,/players/c/crispjo01.html
928,Charlie Criss,1978,1985,G,5-8,165,"November 6, 1948",New Mexico State,/players/c/crissch01.html
929,Russell Critchfield,1969,1969,G,5-10,150,"June 27, 1946",California,/players/c/critcru01.html
930,Winston Crite,1988,1989,F,6-7,233,"June 20, 1965",Texas A&M,/players/c/critewi01.html
931,Javaris Crittenton,2008,2009,G,6-5,200,"December 31, 1987",Georgia Tech,/players/c/crittja01.html
932,Dillard Crocker,1949,1953,F-G,6-4,205,"January 19, 1925",Western Michigan,/players/c/crockdi01.html
933,Bobby Croft,1971,1971,C,6-10,200,"March 17, 1946",Tennessee,/players/c/croftbo01.html
934,Geoff Crompton,1979,1984,C,6-11,280,"July 4, 1955",UNC,/players/c/crompge01.html
935,Terry Crosby,1980,1980,G,6-4,195,"January 4, 1957",Tennessee,/players/c/crosbte01.html
936,Austin Croshere,1998,2009,F,6-9,235,"May 1, 1975",Providence,/players/c/croshau01.html
937,Jeff Cross,1986,1986,F,6-10,240,"September 1, 1961",University of Maine,/players/c/crossje01.html
938,Pete Cross,1971,1973,C-F,6-9,230,"March 28, 1948",San Francisco,/players/c/crosspe01.html
939,Russell Cross,1984,1984,C,6-10,215,"September 5, 1961",Purdue,/players/c/crossru01.html
940,Chink Crossin,1948,1950,G,6-1,165,"July 4, 1923",Penn,/players/c/crossch01.html
941,John Crotty,1993,2003,G,6-1,185,"July 15, 1969",Virginia,/players/c/crottjo01.html
942,Bill Crow,1968,1968,G,6-1,180,"December 9, 1940","Cerritos College, BYU, Westminster College of Utah",/players/c/crowbi01.html
943,Mark Crow,1978,1978,F,6-7,210,"October 22, 1954",Duke,/players/c/crowma01.html
944,Corey Crowder,1992,1995,G-F,6-5,214,"April 13, 1969",Kentucky Wesleyan College,/players/c/crowdco01.html
945,Jae Crowder,2013,2022,F,6-6,235,"July 6, 1990",Marquette,/players/c/crowdja01.html
946,Al Cueto,1970,1971,C-F,6-7,230,"August 2, 1946",Tulsa,/players/c/cuetoal01.html
947,Jarrett Culver,2020,2022,G,6-6,195,"February 20, 1999",Texas Tech,/players/c/culveja01.html
948,Jarron Cumberland,2022,2022,G,6-5,205,"September 22, 1997",Cincinnati,/players/c/cumbeja01.html
949,Pat Cummings,1980,1991,F-C,6-9,230,"July 11, 1956",Cincinnati,/players/c/cummipa01.html
950,Terry Cummings,1983,2000,F,6-9,220,"March 15, 1961",DePaul,/players/c/cummite01.html
951,Vonteego Cummings,2000,2002,G,6-3,185,"February 29, 1976",Pitt,/players/c/cummivo01.html
952,Billy Cunningham,1966,1976,F-C,6-6,210,"June 3, 1943",UNC,/players/c/cunnibi01.html
953,Cade Cunningham,2022,2023,G,6-6,220,"September 25, 2001",Oklahoma State,/players/c/cunnica01.html
954,Dante Cunningham,2010,2019,F,6-8,230,"April 22, 1987",Villanova,/players/c/cunnida01.html
955,Dick Cunningham,1969,1975,C,6-10,245,"July 11, 1946",Murray State,/players/c/cunnidi01.html
956,Jared Cunningham,2013,2016,G,6-4,195,"May 22, 1991",Oregon State,/players/c/cunnija01.html
957,William Cunningham,1998,1999,C,6-11,250,"March 25, 1974",Temple,/players/c/cunniwi01.html
958,Radisav Ćurčić,1993,1993,C,6-10,275,"September 26, 1965",,/players/c/curcira01.html
959,Armand Cure,1947,1947,F,6-0,198,"August 1, 1919",Rhode Island,/players/c/curear01.html
960,Earl Cureton,1981,1997,F-C,6-9,210,"September 3, 1957","Robert Morris University (PA), Detroit Mercy",/players/c/curetea01.html
961,Bill Curley,1995,2001,F,6-9,220,"May 29, 1972",Boston College,/players/c/curlebi01.html
962,Fran Curran,1949,1950,G,6-0,175,"September 9, 1922",Notre Dame,/players/c/currafr01.html
963,Dell Curry,1987,2002,G,6-4,190,"June 25, 1964",Virginia Tech,/players/c/curryde01.html
964,Eddy Curry,2002,2013,C,7-0,295,"December 5, 1982",,/players/c/curryed01.html
965,JamesOn Curry,2010,2010,G,6-3,190,"January 7, 1986",Oklahoma State,/players/c/curryja01.html
966,Michael Curry,1994,2005,F-G,6-5,210,"August 22, 1968",Georgia Southern University,/players/c/currymi01.html
967,Seth Curry,2014,2022,G,6-2,185,"August 23, 1990","Liberty, Duke",/players/c/curryse01.html
968,Stephen Curry,2010,2023,G,6-2,185,"March 14, 1988",Davidson,/players/c/curryst01.html
969,Rastko Cvetković,1996,1996,C,7-1,260,"June 22, 1970",,/players/c/cvetkra01.html
970,Mike D'Antoni,1974,1977,G,6-3,185,"May 8, 1951",Marshall,/players/d/dantomi01.html
971,Mike Dabich,1968,1968,C,7-0,242,"December 27, 1942",New Mexico State,/players/d/dabicmi01.html
972,Ed Dahler,1952,1952,F,6-5,190,"January 31, 1926",Duquesne,/players/d/dahleed01.html
973,Quintin Dailey,1983,1992,G,6-3,180,"January 22, 1961",San Francisco,/players/d/dailequ01.html
974,Samuel Dalembert,2002,2015,C,6-11,255,"May 10, 1981",Seton Hall,/players/d/dalemsa01.html
975,Howie Dallmar,1947,1949,F,6-4,200,"May 24, 1922",Stanford,/players/d/dallmho01.html
976,Erick Dampier,1997,2012,C,6-11,265,"July 14, 1975",Mississippi State,/players/d/dampier01.html
977,Louie Dampier,1968,1979,G,6-0,170,"November 20, 1944",Kentucky,/players/d/dampilo01.html
978,Bob Dandridge,1970,1982,F-G,6-6,195,"November 15, 1947",Norfolk State,/players/d/dandrbo01.html
979,Antonio Daniels,1998,2011,G,6-4,195,"March 19, 1975",Bowling Green,/players/d/daniean01.html
980,Dyson Daniels,2023,2023,G,6-8,199,"March 17, 2003",,/players/d/daniedy01.html
981,Erik Daniels,2005,2005,F,6-8,214,"April 1, 1982",Kentucky,/players/d/danieer01.html
982,Lloyd Daniels,1993,1998,G,6-7,205,"September 4, 1967",Mount San Antonio College,/players/d/daniell01.html
983,Marquis Daniels,2004,2013,G-F,6-6,200,"January 7, 1981",Auburn,/players/d/daniema01.html
984,Mel Daniels,1968,1977,C,6-9,220,"July 20, 1944",New Mexico,/players/d/danieme01.html
985,Troy Daniels,2014,2020,G,6-4,200,"July 15, 1991",VCU,/players/d/danietr01.html
986,Sasha Danilović,1996,1997,G,6-5,200,"February 26, 1970",,/players/d/danilsa01.html
987,Adrian Dantley,1977,1991,F-G,6-5,208,"February 28, 1955",Notre Dame,/players/d/dantlad01.html
988,Pete Darcey,1953,1953,C,6-7,217,"March 3, 1930",Oklahoma State,/players/d/darcepe01.html
989,Jimmy Darden,1950,1950,G,6-1,170,"June 19, 1922",Denver,/players/d/dardeji01.html
990,Ollie Darden,1968,1970,F-C,6-7,235,"July 28, 1944",Michigan,/players/d/dardeol01.html
991,Yinka Dare,1995,1998,C,7-0,265,"October 10, 1972",George Washington,/players/d/dareyi01.html
992,Jesse Dark,1975,1975,G,6-5,210,"September 2, 1951",VCU,/players/d/darkje01.html
993,Nate Darling,2021,2021,G,6-6,200,"August 30, 1998","UAB, University of Delaware",/players/d/darlina01.html
994,Rick Darnell,1976,1976,C-F,6-10,215,"January 1, 1953",San Jose State,/players/d/darneri01.html
995,Jimmy Darrow,1962,1962,G,5-10,170,"September 25, 1937",Bowling Green,/players/d/darroji01.html
996,Gigi Datome,2014,2015,F,6-8,215,"November 27, 1987",,/players/d/datomlu01.html
997,Brad Daugherty,1987,1994,C,7-0,245,"October 19, 1965",UNC,/players/d/daughbr01.html
998,Mack Daughtry,1971,1971,G,6-3,175,"July 20, 1946",Albany State University,/players/d/daughma01.html
999,Kornél Dávid,1999,2001,F,6-9,235,"October 22, 1971",,/players/d/davidko01.html
1000,Jermareo Davidson,2008,2009,F,6-10,230,"November 15, 1984",Alabama,/players/d/davidje01.html
1001,Bob Davies,1949,1955,G-F,6-1,175,"January 15, 1920",Seton Hall,/players/d/daviebo01.html
1002,Brandon Davies,2014,2015,F,6-10,240,"July 25, 1991",BYU,/players/d/daviebr01.html
1003,Anthony Davis,2013,2023,F-C,6-10,253,"March 11, 1993",Kentucky,/players/d/davisan02.html
1004,Antonio Davis,1994,2006,F-C,6-9,215,"October 31, 1968",Texas-El Paso,/players/d/davisan01.html
1005,Aubrey Davis,1947,1947,G-F,6-2,175,"March 28, 1921",Oklahoma Baptist University,/players/d/davisau01.html
1006,Baron Davis,2000,2012,G,6-3,209,"April 13, 1979",UCLA,/players/d/davisba01.html
1007,Ben Davis,1997,2000,F,6-9,240,"December 26, 1972","Kansas, Arizona",/players/d/davisbe01.html
